item_id,name
10001000101,Caldari Shuttle
10001000201,Minmatar Shuttle
10001000301,Amarr Shuttle
10001000401,Gallente Shuttle
10100000101,Griffin
10100000103,Bantam
10100000104,Bantam II
10100000105,Condor
10100000106,Merlin
10100000107,Kestrel
10100000108,Condor II
10100000109,Condor Interceptor
10100000110,Condor II Interceptor
10100000112,Merlin Assault
10100000113,Manticore
10100000114,Manticore II
10100000116,Heron
10100000117,Heron Covert Ops
10100000201,Vigil
10100000203,Burst
10100000204,Burst II
10100000205,Slasher
10100000206,Rifter
10100000207,Breacher
10100000208,Slasher II
10100000209,Slasher Interceptor
10100000210,Slasher II Interceptor
10100000212,Breacher Assault
10100000213,Hound
10100000214,Hound II
10100000216,Probe
10100000217,Probe Covert Ops
10100000301,Crucifier
10100000303,Inquisitor
10100000304,Inquisitor II
10100000305,Executioner
10100000306,Tormentor
10100000307,Punisher
10100000308,Executioner II
10100000309,Executioner Interceptor
10100000310,Executioner II Interceptor
10100000312,Punisher Assault
10100000313,Purifier
10100000314,Purifier II
10100000316,Magnate
10100000317,Magnate Covert Ops
10100000401,Maulus
10100000403,Navitas
10100000404,Navitas II
10100000405,Atron
10100000406,Tristan
10100000407,Incursus
10100000408,Atron II
10100000409,Atron Interceptor
10100000410,Atron II Interceptor
10100000412,Incursus Assault
10100000413,Nemesis
10100000414,Nemesis II
10100000416,Imicus
10100000417,Imicus Covert Ops
10100001001,Worm
10100001101,Dramiel
10100001201,Cruor
10100001601,Astero
10100001801,Garmur
10100001901,Succubus
10100002001,Daredevil
10200000101,Cormorant Guardian
10200000102,Cormorant Interdictor
10200000103,Cormorant II Interdictor
10200000104,Cormorant
10200000105,Corax
10200000106,Cormorant II
10200000107,Cormorant Navy Issue
10200000108,Corax Assault
10200000109,Corax Trainer
10200000110,Corax Sniper
10200000111,Cormorant Covert Ops
10200000201,Thrasher Guardian
10200000202,Thrasher Interdictor
10200000203,Thrasher II Interdictor
10200000204,Thrasher
10200000205,Talwar
10200000206,Thrasher II
10200000207,Thrasher Fleet Issue
10200000208,Talwar Assault
10200000209,Talwar Trainer
10200000210,Talwar Sniper
10200000211,Thrasher Covert Ops
10200000301,Coercer Guardian
10200000302,Coercer Interdictor
10200000303,Coercer II Interdictor
10200000304,Coercer
10200000305,Dragoon
10200000306,Coercer II
10200000307,Coercer Navy Issue
10200000308,Dragoon Assault
10200000309,Dragoon Trainer
10200000310,Dragoon Sniper
10200000311,Coercer Covert Ops
10200000401,Catalyst Guardian
10200000402,Catalyst Interdictor
10200000403,Catalyst II Interdictor
10200000404,Catalyst
10200000405,Algos
10200000406,Catalyst II
10200000407,Catalyst Navy Issue
10200000408,Algos Assault
10200000409,Algos Trainer
10200000410,Algos Sniper
10200000411,Catalyst Covert Ops
10300000101,Moa Guardian
10300000102,Moa II Guardian
10300000103,Blackbird
10300000105,Osprey
10300000106,Moa Interdictor
10300000107,Blackbird Interdictor
10300000108,Caracal
10300000109,Moa
10300000110,Caracal Navy Issue
10300000111,Caracal Trainer
10300000112,Moa Trainer
10300000113,Caracal Sniper
10300000114,Blackbird Covert Ops
10300000115,Blackbird II Covert Ops
10300000201,Rupture Guardian
10300000202,Rupture II Guardian
10300000203,Bellicose
10300000205,Scythe
10300000207,Bellicose Interdictor
10300000208,Stabber
10300000209,Stabber Fleet Issue
10300000210,Rupture
10300000211,Stabber Trainer
10300000212,Rupture Trainer
10300000213,Stabber Sniper
10300000214,Bellicose Covert Ops
10300000215,Bellicose II Covert Ops
10300000301,Maller Guardian
10300000302,Maller II Guardian
10300000303,Arbitrator
10300000305,Augoror
10300000307,Arbitrator Interdictor
10300000308,Omen
10300000309,Maller
10300000310,Omen Navy Issue
10300000311,Omen Trainer
10300000312,Maller Trainer
10300000313,Omen Sniper
10300000314,Arbitrator Covert Ops
10300000315,Arbitrator II Covert Ops
10300000401,Thorax Guardian
10300000402,Thorax II Guardian
10300000403,Celestis
10300000405,Exequror
10300000406,Thorax Interdictor
10300000407,Celestis Interdictor
10300000408,Vexor
10300000409,Vexor Navy Issue
10300000410,Thorax
10300000411,Vexor Trainer
10300000412,Thorax Trainer
10300000413,Vexor Sniper
10300000414,Celestis Covert Ops
10300000415,Celestis II Covert Ops
10300000416,Thorax Prototype
10300001001,Gila
10300001101,Cynabal
10300001201,Ashimmu
10300001601,Stratios
10300001801,Orthrus
10300001901,Phantasm
10300002001,Vigilant
10400000101,Ferox Guardian
10400000102,Ferox II Guardian
10400000104,Naga
10400000105,Naga II
10400000106,Drake Logistics
10400000107,Ferox
10400000108,Drake
10400000201,Cyclone Guardian
10400000202,Cyclone II Guardian
10400000204,Tornado
10400000205,Tornado II
10400000206,Hurricane Logistics
10400000207,Cyclone
10400000208,Hurricane
10400000211,Hurricane Prototype
10400000301,Prophecy Guardian
10400000302,Prophecy II Guardian
10400000304,Oracle
10400000305,Oracle II
10400000306,Harbinger Logistics
10400000307,Prophecy
10400000308,Harbinger
10400000311,Harbinger Prototype
10400000401,Myrmidon Guardian
10400000402,Myrmidon II Guardian
10400000404,Talos
10400000405,Talos II
10400000406,Brutix Logistics
10400000407,Myrmidon
10400000408,Brutix
10500000101,Scorpion
10500000102,Raven Striker
10500000103,Raven
10500000104,Rokh
10500000201,Maelstrom Striker
10500000202,Tempest
